ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
323,2022,5430,2072,534,6160,465,2470,900,1607,3547,6382,29567,26
324,2023,5603,3362,611,6910,481,2541,928,1816,3772,6850,32874,26
325,2012,3685,557,407,3408,86,1754,298,843,1965,4855,17858,27
326,2013,3614,674,395,3472,180,1772,313,869,2158,4952,18399,27
327,2014,3993,734,428,3575,208,1925,326,927,1961,5679,19756,27
328,2015,4094,915,478,3435,236,2113,328,782,2068,5804,20253,27
329,2016,4144,968,400,3519,334,2121,329,820,2253,5804,20692,27
330,2017,4168,1146,426,3350,351,2342,315,816,2367,5625,20906,27
331,2018,4162,1140,392,3325,479,2212,311,826,2155,5910,20912,27
332,2019,4639,1389,408,3856,579,2031,316,1145,2174,6061,22598,27
333,2020,4697,1245,422,4273,486,2197,302,1221,2330,5983,23156,27
334,2021,4886,1597,447,4352,588,2207,354,1414,2614,5426,23885,27
335,2022,5227,1800,435,4727,834,2454,415,1504,2747,5791,25934,27
336,2023,5186,1859,461,4882,909,2465,504,1590,2733,5641,26230,27
337,2012,4667,1281,581,5461,703,2618,578,1976,1977,7799,27641,28
338,2013,4820,1394,558,5490,850,2820,580,1992,2037,7844,28385,28
339,2014,5015,1421,519,5383,992,3162,589,2053,2107,8206,29447,28
340,2015,5380,1692,704,5493,1091,3232,640,1255,2509,8307,30303,28
341,2016,5484,1546,480,5494,1202,3359,616,1294,3512,8210,31197,28
342,2017,5397,1837,486,5934,1266,3265,603,1358,3393,8489,32028,28
343,2018,5456,1697,569,5718,1362,3221,596,1391,3489,8454,31953,28
344,2019,5378,1745,482,5730,1272,3273,670,1404,3607,8481,32042,28
345,2020,5471,1658,501,6071,1230,3303,712,1409,3704,8948,33007,28
346,2021,5517,1834,544,5989,961,3209,1587,1690,3845,8643,33819,28
347,2022,5464,2041,529,6204,1300,3274,672,1412,3849,8490,33235,28
348,2023,5562,3150,554,6430,1251,3400,857,1727,3866,8411,35208,28
349,2012,1824,335,138,1539,207,1048,142,679,534,2152,8598,29
350,2013,1838,331,190,1905,236,701,183,670,533,2154,8741,29
351,2014,1876,360,170,1645,273,988,193,714,508,2107,8834,29
352,2015,1929,365,187,1640,277,996,195,539,534,2123,8785,29
353,2016,1954,382,142,1679,285,1001,201,562,805,2096,9107,29
354,2017,1970,377,146,1740,292,1018,189,549,769,2135,9185,29
355,2018,1962,384,158,1741,298,1017,187,551,797,2147,9242,29
356,2019,1906,391,134,1667,282,978,179,543,780,2075,8935,29
357,2020,1987,403,147,1702,300,1060,185,585,773,2152,9294,29
358,2021,2007,461,146,1696,279,1060,187,575,794,2165,9370,29
359,2022,2111,483,95,1760,314,1379,140,734,746,2327,10089,29
360,2023,1928,628,101,1610,298,1231,130,651,720,2097,9394,29
361,2012,9333,1697,935,7544,570,7043,660,2699,3371,11635,45487,30
362,2013,9495,1740,961,7581,594,7285,683,2763,3449,11438,45989,30
363,2014,9721,1867,986,7505,612,8065,749,2864,3910,12041,48320,30
